Streak,sum,scenario
285,0.0,sceptic
286,0.0,sceptic
287,0.0,sceptic
288,0.0,sceptic
289,0.0,sceptic
290,0.0,sceptic
291,0.0,sceptic
292,0.0,sceptic
293,0.0,sceptic
294,0.0,sceptic
295,0.0,sceptic
296,0.0,sceptic
297,0.0,sceptic
298,0.0,sceptic
299,0.0,sceptic
300,0.0,sceptic
